"4","Водит хорошо,думает быстро,присоска отличная на лобовое. могу советовать к покупке! О! чуть не забыл,поклейте защитную плёнку на экран! царапается от ногтей очень быстро!"
"5","Столкнулся с проблемой прослушивания музыки, и видео на устройстве. Звук с навигатора и при настройке громкости самого устройства идет, работает. А вот видео с ютуба, приложений, и музыки нет. Это брак или такая настройка? как это исправить?"
"4","Купила сегодня этот навигатор на подарок мужу. Гаджет практически то же самое что планшет но без снимки. Для такой цены можно было бы поставить нормальное стекло. Когда проводишь по стеклу пальцем ощущается его шершавость, это не страшно, а вот блики более существенный недостаток. Хотя меню достаточно красочное, но пока не известно какой будет картинка непосредственно при работе Навитела. Кстати, Навител должен быть на английском языке или там есть настройки языка? В принципе гаджет с андроидом радует своей функциональностью. При включении дома спутников не нашёл. Надеюсь что всё заработает во время эксплуатации в машине."
"4","Водит хорошо,думает быстро,присоска отличная на лобовое. могу советовать к покупке! О! чуть не забыл,поклейте защитную плёнку на экран! царапается от ногтей очень быстро!"
"5","Столкнулся с проблемой прослушивания музыки, и видео на устройстве. Звук с навигатора и при настройке громкости самого устройства идет, работает. А вот видео с ютуба, приложений, и музыки нет. Это брак или такая настройка? как это исправить?"
"4","Купила сегодня этот навигатор на подарок мужу. Гаджет практически то же самое что планшет но без снимки. Для такой цены можно было бы поставить нормальное стекло. Когда проводишь по стеклу пальцем ощущается его шершавость, это не страшно, а вот блики более существенный недостаток. Хотя меню достаточно красочное, но пока не известно какой будет картинка непосредственно при работе Навитела. Кстати, Навител должен быть на английском языке или там есть настройки языка? В принципе гаджет с андроидом радует своей функциональностью. При включении дома спутников не нашёл. Надеюсь что всё заработает во время эксплуатации в машине."
"5","К нему можно камеру заднего вида подключать??"
"5","Купил на днях данный навигатор. Покупал здесь, на Розетке. Пока рано ещё говорить о минусах, но некоторые плюсы уже заметны. 1. Операционная система Андроид. После планшета/телефона (которые также на этой ОС) долго привыкать не нужно. Всё просто и понятно. 2. Производительность. Очень быстро реагирует на (действия) касания. #мояраспаковка"
"4","Навигатор хороший в общем-то. Всегда видит от 8 до 10 спутников. Многофункциональный, можно смотреть видео, фото и всё остальное, как в смартфоне на андроиде. Правда фм трансмитер работает с перебоями, поэтому им практически не пользуюсь. Сам же Новител работает без интернета, ведёт чётко, но база по номерации домов (Киев) НИКАКУЩАЯ! Так что в основном, установил и пользуюсь Яндекс навигатором - работает без проблем, при подключённом интернете отображает пробки. Крепление к стеклу удобное и прочное. Телефонную книгу синхронизировать нельзя. Режим hands-free отсутствует. Диагональ оптимальная, видно хорошо."
"4","Синхронизируется ли телефонная книга со смартфона с этим навигатором?"
"4","Могу ли я данную карту обновлять просто через интернет?"
"5","Навигатор с программным обеспечением от компании “Навител”, которая уже давно работает на этом рынке. Устройство работает довольно-таки шустро, быстро формирует маршрут. Из достоинств можно выделить хорошее качество сборки, видно, что аппарат прочный. При эксплуатации ничего не поскрипывает, не попискивает. Хочу отметить отличные карты с хорошей детализацией даже просёлочных дорог. Также использую навигатор как видеопроигрыватель и иногда, в дороге, смотрю на нем фильмы. Крепление удобное, надежное."
"5","Купил недавно этот навигатор, долго выбирал между андроидом и без него, все таки есть пару плюсов в плане установки дополнительных приложений, плюс встроенный вайфай позволяет быть постоянно в сети (раздаю с телефона интернет) и просматривать те же самые пробки. Отдельно хочу отметить качество корпуса, приятный на ощущение, покрытие ""софт тач"", не оставляет жирных пятен. Рекомендую, отличный аппарат"
