"5","Для всех кто не может подключить навигатор к компьютеру: просто подключите другой USB кабель и всё будет Ок. (Видимо кабель, который идёт в комплекте, предназначен только для зарядки)"
"4","понравился"
"5","Для всех кто не может подключить навигатор к компьютеру: просто подключите другой USB кабель и всё будет Ок. (Видимо кабель, который идёт в комплекте, предназначен только для зарядки)"
"4","понравился"
"5","С покупкой проблем не возникло, доставили на второй день. Установка тоже доаольно простая: присоску на лобовое в выбранное место плюс в прикуриватель зарядное. По навигации сильно пока не гонял его, купил всего пару дней назад, но по Кировограду аппарат водит отлично. Выезжал до Знаменки и обратно - тоже правильную дорогу показывает, причем с адрессами домов, прямо до нужного дома доводит. В селах номеров домов не знает, но Вы покажите какой навигатор их знает, их даже не все люди в селах используют. Поеду в соседнюю область на днях по нему, гаджет производит впечатление надежного и продуманного аппарата."
"5","Простой в управлении и с картами не надо заморачиваться. Всё уже есть, всё уже установлено, всё отлично работает. Зашел сказать спасибо! За месяц ни одной проблемы не было."
"5","Нормальная, качественная навигация, карты уже на аппарате, париться с установкой не нужно. В общем и целом доволен. Еще понравилось, что всё описано просто и доступно, даже ребенок или человек в возрасте сможет разобраться, потратив немного времени."
"5","Почти 2000 км с этим попутчиком намотал. В основном, конечно, по городу, но и междугородние маршруты имели место. Показал себя в работе отлично, проблем никаких. Главное - это с самого начала потратить полчаса на ознакомление с инструкцией и самим устройством, тогда трубностей не будет."
"3","Купил данный навигатор.дизайн экран и информативность карты понравились, но вот поиск по адресу сразу же поставил в тупик. Родной Город Ирпень пишется в навигаторе только по украински и начинается с буквы i ,которую никак нельзя ввести, так как украинский язык выбрать нельзя -только русский и английский. При чем английская i не катит. И вообще половина наименований на русском, другая половина -на украинском, как то определились бы уже создатели."
"5","Отличный навигатор!Простой в управлении, карты подробные, не тормозит и не глючит!И цена нормальная!Советую!"
"4","Після користування навігатором (проїхав більше 1000 км. по Україні) можу сказати, що навігатор сподобався, роботу свою виконує добре. Сама Libelle викликає двоякі відчуття, особливо на початку користування. Досить не звична програма, не звично промальована місцевість, можливо використані не зовсім вдалі символи та кольори (в Навітелі мені більше подобається), але в принципі дуже інформативна та точна, голосові підказки в міру необхідності (що радує), і взагалі роботу свою робить, хоча також не можна довіряти на 100 %, бо інколи може повезти собачими стежками:)"
"5","НАВИГАТОР ПРОСТО СУПЕР Я ВСІМ ЗАДОВОЛЕНИЙ РЕКОМЕНДУЮ"
"5","Приятный минималистический дизайн и материалы корпуса. Сборка плотная, на стекле крепится надежно. Пользуюсь только навигацией - никаких нареканий, все очень удобно и понятно!"
"4","Запустил и настроил навигатор сразу, проблем не было, настройки понятные и не требующие разбирательств. На 2 день выдало, что карты устарели, решил обновить через офф. сайт http://libelle.com.ua/ выбрал самый простой способ, скачать карты - залить в папку maps, залил, после 1 запуска выдало сообщение ""не верный формат чего-то там"" хотя все сделал по инструкции, после этого навигация перестала включаться. Тупо выбивало, пришлось саму программу скачивать с офф сайта и перезаливтаь на навигатор (прошивку скажем так) с сохранением файлика лицензии. Заработало. Иногда молчит деваха с подсказками, хотя все включено и звук и деваха... Иногда ведет по хз каким улицам хотя там никогда не было дороги, грунтовые и тд - отключены. В целом хорошо."
"5","воспроизводит видио ??"
"5","Приятно что есть такие качественные и относительно недорогие продукты. Мне кажется такого рода аппараты должны быть у каждого как аптечка в авто."
"5","Наверное простейшая моделька со всего модельного ряда, но отнюдь никакого дискомфорта в работе. Приятный интерфейс, и что немаловажно продуманный. Все просто."
"5","Будучи продавцом в одном из магов, тестила данный аппарат. Могу смело заявить, что продукт качественный, как по технической части (сборка и тп.) так и по программной (по). Готова ответить на вопросы если что."
