"2","Купил еще в 2013-м году этот навигатор. Так вроде все неплохо, если не считать их карты, которые не обновляются. Обновлял в последний раз еще в прошлом году с их сайта, навигатором длительное время не пользовался. Сегодня нужно ехать в Болгарию, навигатор ругается что карты критически устарели. Скачал с офф сайта, а они от того же 07.2015, что и у меня уже стоит в девайсе... Я на всякий пожарный случай заменил карты, вдруг (а чего не бывает) решит в проблему с ""критически устарели"", но нет. Год карты не выходили, на навигаторе, который продается! Это ж появляются односторонние, ставят кирпичи, строят дороги, за месяц сколько всего помнятся может!"
"2","Купил еще в 2013-м году этот навигатор. Так вроде все неплохо, если не считать их карты, которые не обновляются. Обновлял в последний раз еще в прошлом году с их сайта, навигатором длительное время не пользовался. Сегодня нужно ехать в Болгарию, навигатор ругается что карты критически устарели. Скачал с офф сайта, а они от того же 07.2015, что и у меня уже стоит в девайсе... Я на всякий пожарный случай заменил карты, вдруг (а чего не бывает) решит в проблему с ""критически устарели"", но нет. Год карты не выходили, на навигаторе, который продается! Это ж появляются односторонние, ставят кирпичи, строят дороги, за месяц сколько всего помнятся может!"
"3","Все було б добре якби не сенсор, при користуванні складається враження ніби тиснеш в рукавицях."
"3","Своих денег стоит, спутники ловит быстро и стабильно, карты (для крупных городов) достойные (подсказывает правильную полосу для поворота, все переулки и т.п. есть). Из недостатков: - Экран мягко говоря не очень, но в принципе водителю все видно (и слышно :)). - Скроллить по карте для того чтобы вручную отметить точку, то еще мучение - тормозит жуть :( ... (но при этом поиск адреса/POI/координат летает). - Карты не везде подробные (в том же Овидиополе, например не знает что есть ул. Береговая, не подозревает о съезде с киевской трассы к дачному поселку за мостом через хаджибейский лиман) Достоинства: В коробке весь комплект : кабель, крепление с присоской (держится хорошо), зарядка от прикуривателя. Там где есть подробная карта, показывает полосы, предупреждает об ограничении скорости. Громкий динамик."
"5","Как настроить голосовую помощь или она будет появляться сама при движении?"
"5","4 дня без перерива и все окей не глючит работает на 5+ можна по жиланию другую навигацию поставить. все пости ДАІ пок... и радари в том числе )"
"5","Навигатор с основной задачей справляется просто отлично, быстро четко, карты подробные. Дополнительный функционал тоже в наличии. Можно было бы расширить его за счет подключения к интернету, но этот навигатор я бы сказал исключительно для навигации. С этой задачей он справляется на ура, так что доволен!"
"5","очень хороший качественный gps работает на ура!!!"
"3","Пользуюсь уже два года, поэтому внимайте Работал с ним в такси в г. Днепропетровск. Карта Libelle мне нравится, особенно нравится то, что при назначении конечного пункта есть возможность увидеть сначала саму точку на карте, потом маршрут на карте, а уж только потом к следованию по маршруту. Пресловутый Garmin c картой Аэроскан этого не делает, не показывает он также расстояние до точки прибытия, а только расчетное время до нее. Для людей с плохим зрением карта покажется слишком мелкой, зато для людей с хорошим - информативной. Перспектива прорисовывается достаточно для того, чтобы самому можно было принять решение об отклонении от маршрута (в том случае, если Вы знаете больше навигатора ;-). Удобно также и то, что на зданиях указаны номера домов (Аэроскан опять сакс).Позиционирование четкое, бывают сбои летом в местах, где много старых деревьев и густая листва. Вобщем, первые полгода я был очень доволен. Пока не умер тачскрин. По гарантии его отремонтировали за 2 дня. И еще полгода я был очень доволен. Пока тачскрин опять не умер. Работу в такси сменила работа в офисе, т.о. гаждет был забыт и заброшен до этой недели. Замена тачскрина в СЦ обошлась в пару сотен. и те же 2 дня ожидания. Работники СЦ сказали, что у них есть свой ресурс по нажатиям, а данный экземпляр - не из самых выносливых (мягко говоря). За 2 года вышло 3 обновления. Вывод: хороший бюджетный гаджет не для профессионального использования. Если не планируете работать с ним как начинающий таксист - берите не пожалеете. В противном случае рекомендую обратить внимание на более дорогих и надежных производителей. З.Ы.: для коменнтаторов из серии ""неправильно определяет местоположение"" настоятельная рекомендация: ЧИТАЙТЕ ВНИМАТЕЛЬНО ИНСТРУКЦИЮ!"
"5","Хороший і практичний пристрій."
"5","Отличный навигатор!Рекомендую.Очень прост в управлении и карты либель-очень подробные"
"4","В общем. Приобрел, на первый взгляд все в порядке. Шнур питания короткий(свернут в локон, когда растягиваешь все равно неважно). Качество сборки в принципе нормально-не люфтит, не скрипит. Вначале не смог разобраться с определением местоположения, загуглил. Написано что первый запуск(холодный старт так называемый) может длиться от 20 до 30 минут, притом вне помещения. Сегодня поставил в машину, нашел кучу спутников, все ок. Шустро работает, нормально реагирует сенсор. Видяшки, музыка без проблем, ничего не подтормаживает (видео и музыку закидывать в Вами созданную папку-называйте как хотите). Брал не здесь и с Навител, почему то Либелле не доверился(товарищ отговорил)."
"1","Libelle - перекладається як ""Стрекоза"". 100% виправдовує назву. Ви бачили як літае стрекоза? То висить нерухомо, то різко сіпається убік. Так і тут: перед поворотом тупить, потім губить супутник і починає перепрокладати маршрут. Доки це робить, Ви проминаете потрібний поворот .... і знову перепрокладає маршрут. Їхали літом з родиною на море, коло Вінниці вирішили зрізати, бо трасса була дуже завантажна. Завів у таки дебрі, що довелося питати місцевих як виїхати. Намотали зайвих 120 км, згаяли 3 години часу, про нерви взагалі мовчу... При тому що за день перед поїздкою оновив усі карти... Приїхав додому - перепрошив на Навітел - те, що треба! Висновок: сам пристрій непоганий, а навігаційна система.... не слів, треба перепрошивати."
"5","Берите не пожалеете! Купили себе нарадоваться не можем!"
"5","Учитывая цену на товар - брать можно смело."
