"4","Железо : материалы корпуса хорошие , родная защитная плёнка при попадании освещения не даёт увидеть что творится на экране , стилус достать трудно , тачскрин работает довольно неплохо. В работе девайс не тормозит , при навигации работает шустро (c IGO Primo -быстро, с Navitel- хуже), воспроизвод видео - тормоза при любом разрешении и любом поддерживаемом формате. FM-модулятор - передача сигнала в стерео , качество нормальное , но много шумов, дальности передачи для автомобиля хватит. Bluetooth коннектится с телефоном отлично , доступ к основным ф-циям телефона шустрый. Комплектация : неплохо , но нехватает зарядного от сети 220v AC. Документация и инструкции юзера: моя личная оценка- минус 5 , даже не ноль. С такими юзермануалами и описанием прибора трудно опредилиться с тем , стоит ли ЭТО покупать ? Производитель такими вещами очевидно вообще не парился."
"4","Железо : материалы корпуса хорошие , родная защитная плёнка при попадании освещения не даёт увидеть что творится на экране , стилус достать трудно , тачскрин работает довольно неплохо. В работе девайс не тормозит , при навигации работает шустро (c IGO Primo -быстро, с Navitel- хуже), воспроизвод видео - тормоза при любом разрешении и любом поддерживаемом формате. FM-модулятор - передача сигнала в стерео , качество нормальное , но много шумов, дальности передачи для автомобиля хватит. Bluetooth коннектится с телефоном отлично , доступ к основным ф-циям телефона шустрый. Комплектация : неплохо , но нехватает зарядного от сети 220v AC. Документация и инструкции юзера: моя личная оценка- минус 5 , даже не ноль. С такими юзермануалами и описанием прибора трудно опредилиться с тем , стоит ли ЭТО покупать ? Производитель такими вещами очевидно вообще не парился."
"4","Доволен"
"5","Просто хороший навигатор."
"5","Цельный и хорошо собраный корпус - это было первое впечатление. Дальше-больше протестировал все функции - всё работает отлично! Навигация на уровне, но больше всего обрадовала возможность видео смотреть, я теперь и свободное время в машине с ним легко скоротаю!"
"5","Максимум функционала в навике: кроме карт есть и музыка и читалка, и видеоплеер, кроме того экран нормальный, цвета яркие, да и по значкам меню не промахнешься. Ничего не скажешь, функционально и удобно."
"5","Понравился экран, достаточно большой чтобы всё разглядеть, но в то же время не заслоняет обзор, рад покупке на 200%, тут и навигация и музыка, и книги почитать можно!"
"5","Оценил 6-дюймовый экран, он меня порадовал. Корпус тоже хорош, выглядит прибор стильно и элегантно. Снес навител, поставил libelle - проблем с навигацией нет."
"4","Работает хорошо. НО батарея при правильной зарядке первый раз держала двадцать минут.После третьей около часа. Ну а дальше посмотрим. А самой работой навигатора я доволен. проверен при поездке в Болгарию"
"4","Очень доволен работой. Крайне удобно пользоваться, особенно выручает ночью или когда плохая видимость. Работает без выключения (в спящий перевожу), в связке с libelle map"
"5","Надежен и точка."
"5","Достойный навигатор для достойных.."
"4","Брал навигатор, чтобы в нем были пробки, было удобно использовать и не разочаровался. У него удобный экран, по меню можно нажимать пальцем. Пробки показывает в связке с телефоном, строит маршрут объезда. Точность карты мне нравится."
