"5","Кто может сказать,какая версия Navitel тут установлена?"
"4","Купил,пользуюсь,все работает,навиком доволен"
"4","Аппарат работает хорошо"
"4","Работает без сбоев, простой и стильный"
"5","Кто может сказать,какая версия Navitel тут установлена?"
"4","Купил,пользуюсь,все работает,навиком доволен"
"4","Аппарат работает хорошо"
"4","Работает без сбоев, простой и стильный"
"4","Пользуюсь 5 месяцев, не глючил,не подводил в дороге"
"4","Цена-в пределах разумного, хороший аппарат, проблем не возникло"
"5","Езжу с ним год,все в норме. Стильный корпус."
"4","Подарил эту вещичку отцу. Но когда он ездит в другой город (население около 30 000), то на навигаторе не показывает названия улиц. Можно это как то исправить?"
"4","Переживает вторую машину. Менял динамик."
"3","можна брати, однак зараз мабуть взяв би інший"
"5","Недостатков тупо нет."
"5","Ходовая модель."
"5","Моделька хороша, на отличном чипе. В прнципе все ок, никаких проблем за полгода пользования не было выявлено."
"5","Добротно сделан. Компактный по размеру, при этом качество и громкость голосовых подсказок не страдает. Маршруты прокладывает быстро и по нормальным дорогам. А для комфортной поездки мне ничего больше и не нужно."
"1","Купила недавно Tenex 50 SВt Навител + чехол, а получилось что купила просто чехол. Качество навигатора отвратительное. Сборка будто в подвале собирали, по 5 раз нажимаю на экран что б попасть именно в то меню которое мне нужно, а не в то которое рядом. Собираюсь возвращать"
"4","Даже в морозы, забытый в машине - запустился без проблем. Работает норм, как по мне."
"4","аппарат хороший. хочу купить себе такой. Единственое что меня смущает в нем это на лицевой панели в низу с левой стороны неболшое отверстие.спрашивал у консультантов в магазине ни кто незнает,что это.Может кто нибудь мне обьяснит. Спасибо."
"5","Tenex очень высококачественный прибор, это чувствуется сразу, когда берёшь его в руки.Надежный, много сервисных центров по всей Украине"
"4","Посоветовал друг модель как у него Tenex 50 Sbt, могу спокойно заявить- отличный навик! у него уже больше года-корпус как новенький, ни разу не подвёл в дороге. Надеюсь мой окажется таким же добротным, пока всё гуд."
"1","Мрак.. отправил аппарат 3 (третий !!!) раз в сервис. искренне сожалею что связался. до этого ездил с ergo - никаких проблем не было. решил обновить гаджет"
"5","Купил эту модель в розетке, нареканий на устройство нет. Со своими задачами справляется, но стал очень важный вопрос. Сборка навител на этом устройстве обновленная (5.0+), официальные карты есть, но они подходят лишь для больших городов. Атласы пишутся отдельными комьюнити и заливаются в устройство с описанием дорог/улиц/помещений окрестных небольших городов/пригородов. Но для корректной работы нужна старая сборка программного пакета Навител (3.2.6 или 3.5). Большая просьба обладателям старых версий сборки (купивших девайс в 2010) - залить старую сборку (папка на SDMM Navitel без ключей активации) на портал travelgps."
"5","Очень интересный навигатор, внешне – на высоте."
"1","Перестал работать сэнсор через 3 недели после покупки. Отнес к партнерам тенекса F1 (занимаются ремонтом) - вернули через полторы недели, все ок. Прошло 3 недели - опять сэнсор перестал работать. Сегодня утром. И это перед поездкой до тысячи километров. Злой аки сатана. По факту - навигатор - шлак, не вздумайте брать. К розетке претензий никаких, само собой."
"5","Навигатор смотрится неплохо. Меню простое и удобное. Работает быстро. Ведет по маршруту точно но не без ошибок."
"4","Долго использовал старый процессор, и в принципе был им доволен. Весной прикупил на новом процессоре, и следует признать, что несмотря на заявленные характеристики более низкого качества, от превосходит предшественника. Так что производитель явно не зря перешел на новые и явно уделяет внимание новшествам и новведениям."
"5","Пользуюсь больше года аппарат очень хороший! Нравится его характеристики(очень расторопный). Дизайн на высоте и тоненький да еще и закругленный что позволяет несмотря на размеры удобно носить в кармане. FM трансмиттеру нашел нестандартное применение- в длинную поездку закачиваю на флэшку пару фильмов и колегам включаю их, а звух через FM трансмиттер вывожу на магнитолу."
"5","Хорошая модель,покупкой доволен.Отличная карта навител..128 оперативки..ничё не тормозит..за 6 месяцев не одного сбоя По дизайну очень привлекательный,хороший экран"
