"5","Добрый день всем!Подскажите будьте так великодушны,имеется ли в этом навигаторе с ПО Navitel карты Европы?Так как мне они будут необходимы,а в описании этой информации нет.Спасибо огромное за ответы!"
"3","Хорошая модель, если бы не зависала в самый ответственный момент. Карты лучше использовать Libelle."
"5","Добрый день всем!Подскажите будьте так великодушны,имеется ли в этом навигаторе с ПО Navitel карты Европы?Так как мне они будут необходимы,а в описании этой информации нет.Спасибо огромное за ответы!"
"3","Хорошая модель, если бы не зависала в самый ответственный момент. Карты лучше использовать Libelle."
"5","Для начинающего водителя незаменимая штука! Ни разу меня не завел куда-нибудь не туда. Если проскочишь поворот, моментально перестраивает маршрут. Да и дисплей большой - не промажешь при нажатии"
"5","Многофунциональный аппарат, очень радует своими функциями и их исполнением. Получил на подарок, очень рад!"
"4","Моему навику уже почти год. ведет себя нормально, иногда тупит навител, обновлялся до последней версии, бывает сходит с ума когда проложен странный маршрут (по прямой для навитела это странно), был с ним в Одессе, помог. Громкая связь не очень приходится кричать и слушать, стоит авто-ответ."
"4","Для своей цены неплохой товар. Навител заменил на Igo так как надо карты Европы."
"5","К самым сильным сторонам навика могу отнести экран - очень сочный, цветопередача на уровне, и на прикосновения реагирует без задержек, что очень приятно. Также явным преимуществом является навигация, все понятно, просто и удобно для пользователя."
"5","Мне служит верой и правдой уже больше месяца (почти два). Куда я его только с собой не таскал: и на море в Крым, и к родственникам в Киев, пока всегда приводит туда, куда нужно!"
"5","Порадовало всё в упаковке с навиком: от удобного крепления навигатора и до программы, установленой на нем, либель называется. Короче куча радости в одном флаконе, класс!"
"5","Красапета то какая! Мне в авто вписался, плюс отпала необходимость гарнитру покупать, юзаю громкую связь через него."
"5","Хорошо вписался в интерьер (chevrolet captiva), неплохо и работает. Время работ напрямую зависит от яркости такого здоровенного экрана, поэтому стараюсь поубавить яркость."
"5","Мой первый и любимый навигатор. Спасибо тебе."
"5","пользуюсь пол года доволен !!"
"4","Кульный такой девайс, это мой первый навигатор, понравился."
"1","Скажите, а у всех не работает видеовход который в характеристиках описан (AV-IN) или только у меня"
"4","Если слетела каллибровка экрана, а кому то слабо заново откаллибровать (для чего есть отдельный пункт меню), то это как ""кривые руки - дурная голова"" )))) Вообще навик своеобразный, тут размер экрана играет как в плюс так и в минус, поэтому нужно хорошо подумать и все взвесить, потому как не у каждого в авто беспроблемно будет смотреться огромный экран посреди лобовухи или торпедо. Со своими задачами справляется нормально. Ставил многие программы (автоспутник, навител, ситигил, иго, либель) остановился на последней."
"1","Приобрел 3 месяца назад, впечатления отрицательные. Он огромен, закрывает вид, крепление пару раз подводило, экран иногда с 3-5 раза понимает что я хочу тыкнуть, часто тыкается то что рядом."
"4","Экран тут здоровый канешно. Прикольный девайс. Можно использовать и не по назначению, например как видеоплеер."
"4","Долго не мог разместить в машине, чтоб не мешал обзору ))) А так прикольно конечно, и поездить и кинчик посмотреть."
"4","Экран боольшоой ))), единственное нужно под него место найти,чтоб обзор не заслонял. К навигации притензий нет."
"4","Сборка на уровне! Люфтов не наблюдается. Экран сидит как влитой."
"3","Всем доброго времени суток. Работаю в такси и потому буду говорить о сем девайсе предельно объективно. Карта Навитэл по удобству просто спасение, особенно номера домов. Лицензия радует, переодически обновляю карту, все показывает. Теперь о самых весомых минусах: 1 не антибликовый дисплей!!!!!! Только спиной к солнцу, о навигации можно забыть. 2 медленно рисует положение авто(отключил все ненужное типа 3д, окаймление объектов, сглаживание, притягивание к маршруту и т.д.) 3 на такую диагональ процессор маловат будет так как обработка видео требует больших ресурсов чем 468Мгц. Самым большим недостатком все таки не антибликовый дисплей. А так впринципе девайс не плохой. Перед тем как брать настоятельно рекомендую лично взять в руки и поюзать его, потом думать брать или оставить где лежал. Конечно единственное место где его можно протестить это на дороге, но все же, попробуйте его поклацать и в магазине. Из этого тоже можно зделать какие то выводы для себя."
"1","Я не знаю, кто пишет для него хорошие отзывы, оценить карту не могу, потому что ловит спутники через пол часа после включения, постоянно их теряет"
"5","Яркий экран. Bluetooth с возможностью подключения телефона, удобно принимать и совершать вызовы. Достаточно шустрый процессор. Удобный и надежный элементы крепления на лобовое стекло автомобиля. Порадовали емкий аккумулятор, наличие FM трансмиттера, возможность проигрывать видео, аудио файлы. Приятно был удивлен подробности и точности карт Навител."
"5","В первую очередь смотрел на цену, подкупила. Боялся, что жадность меня погубит, и в итоге приобрету какую-то ерунду. Но я удивлён, ко мне в руки попало нормальное устройство! На поиск спутников аппарат тратит в среднем полминуты. Не виснет при просмотре видео. Очень простое меню, без ухищрений. Все необходимые функции и даже электронная читалка. Огорчает, что нет зарядки для обычной сети. От компьютера заряжается медленно. Самой же зарядки хватает на три часа, без прослушивания музыки."
"5","Решил взять навигатор в преддверии отпуска для поездки по Европе. Телефоном постоянно пользоваться неудобно, батарея быстро разряжается - решился и выбрал эту модель. Хороший приятный корпус, экран 800*480, лицензионный Navitel. Для Европы скачал и установил iGo 8. Карты грузятся быстро, пользоваться очень удобно. Сигнал спутников ловит почти мгновенно независимо от используемого ПО. За 10 дней ежедневного использования ни разу не подвел, я очень доволен."
"4","Очень хорошая сборка. Смотрится дорого. Быстрый. Более-менее известный производитель. Официальный Навител."
"4","В целом, аппарат хороший."
"4","Выбором доволен на 90%"
"4","Аппарат вроде верочный: и дизайн, и функциональность, как бы всё при нём."
"5","Купил неделю назад. До этого пользовался GPS наладонником. качеству претензий нет, в ценовой категории, по-моему, один из самых достойных."
"4","Наконец-то пришел и мне мой девайс. Пару дней уже покатался с ними уже есть пара положительных впечатлений. Заливал видео различных форматов - ни одно не тормозит."
"5","У меня Tenex 70 М, второй год. Работает и от прикуривателя. Куча примочек : карта памяти, видео, блютус... Очень рекомендую. До конца ещё со всем не разобрался. Короче, Бомба !"
